name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,ceo,address,postal_address,city,share_capital,sni_codes,business_purpose,phone,website
E3 Konsult Fjugesta AB,https://www.allabolag.se/foretag/e3-konsult-fjugesta-ab/fjugesta/-/5591882377,[],559188-2377,2093,E3 Konsult Fjugesta AB,2018-12-21,Aktiebolag,1,"Tegelgatan 3, 716 30 Fjugesta","Tegelgatan 3, 716 30 Fjugesta",Fjugesta,50,['71122 Teknisk konsultverksamhet inom industriteknik'],"Föremålet för bolagets verksamhet är projektering och integration av tekniska system inom privat och offentlig förvaltning, handel med och förvaltning av fastigheter, handel med värdepapper och därmed förenlig verksamhet.",,,
Desert Business Affairs AB,https://www.allabolag.se/foretag/desert-business-affairs-ab/%C3%B6rebro/-/5590515762,[],559051-5762,2092,Desert Business Affairs AB,2016-02-17,Aktiebolag,1,"Klostergatan 23, 703 39 Örebro","Box 103, 701 42 Örebro",Örebro,50,['70220 Konsultverksamhet avseende företags organisation'],"Bolaget har till föremål för sin verksamhet att idka konsultverksamhet inom områdena juridik, ekonomi, kapitalförvaltning, finansiering, skatter, juridisk rådgivning och ekonomisk rådgivning samt idka därmed förenlig verksamhet. Därjämte kan bolaget för egen och annans räkning köpa, sälja och förvalta aktier, obligationer, reverser, andelar, fastigheter samt köpa och sälja administrativa tjänster. Tillika äger bolaget rätt att för koncernbolag och andra bolag ingå borgensåtaganden, så och till dessa läm= na lån eller hos dessa upptaga lån. Verksamheten avser dock ej sådan verksamhet som avses i lag om bankrörelse eller lag om finansieringsverksamhet.",,,
Kaminbutiken Installation i Örebro AB,https://www.allabolag.se/foretag/kaminbutiken-installation-i-%C3%B6rebro-ab/vedev%C3%A5g/-/5569118549,[],556911-8549,2090,Kaminbutiken Installation i Örebro AB,2012-11-27,Aktiebolag,4,"Kvarnbackaö 4, 711 72 Vedevåg","Kvarnbackaö 4, 711 72 Vedevåg",Vedevåg,50,"['43999 Diverse övrig specialiserad bygg- och anläggningsverksamhet', '43221 Värme- och sanitetsarbeten', '46731 Partihandel med virke och andra byggmaterial']","Aktiebolaget ska bedriva verksamhet inom skorstensrenovering, kamininstallationer, takläggning, fönstermontage, snickeri samt försäljning av tillhörande material med förenlig verksamhet.",Bengt Ove Stefan Roos,,
Dialog Ekonomi i Örebro AB,https://www.allabolag.se/foretag/dialog-ekonomi-i-%C3%B6rebro-ab/%C3%B6rebro/-/5592392194,[],559239-2194,2090,Dialog Ekonomi i Örebro AB,2020-01-29,Aktiebolag,2,"Karlsrovägen 8, 702 33 Örebro","KINDEVÅG Karlsrovägen 8, 702 33 Örebro",Örebro,25,"['69201 Redovisning och bokföring', '74300 Översättning och tolkning']","Bolaget ska tillhandahålla ekonomi och redovisningstjänster, bedriva konsultverksamhet inom redovisning, skatter, aktier och finansiella instrument. Bolaget ska bedriva aktiehandel för egen räkning samt äga och förvalta fast och lös egendom. Bolaget ska även utföra tolkning mellan teckenspråk och svenska, erbjuda teckenspråkskurser samt information om teckenspråket och tolkyrket och därmed förenlig verksamhet.",,,
Bofinkhusen AB,https://www.allabolag.se/foretag/bofinkhusen-ab/kumla/-/5590036397,[],559003-6397,2090,Bofinkhusen AB,2015-02-11,Aktiebolag,0,"Marsvägen 2 b, 692 34 Kumla","Marsvägen 2 b, 692 34 Kumla",Kumla,50,['68202 Uthyrning och förvaltning av egna eller arrenderade industrilokaler'],Bolaget ska äga och förvalta fastigheter och värdepapper samt därmed förenlig verksamhet.,,,
7th Estate AB,https://www.allabolag.se/foretag/7th-estate-ab/%C3%B6rebro/-/5590950878,[],559095-0878,2090,7th Estate AB,2016-12-29,Aktiebolag,1,"Gaxevägen 7, 702 31 Örebro","Gaxevägen 7, 702 31 Örebro",Örebro,50,"['62020 Datakonsultverksamhet', '59110 Produktion av film, video och TV-program']","Projektledning, logistikutveckling, systemutveckling och därmed förenlig verksamhet.",Peter Andreas Stefan I K Marcusson,,
ECAB EkonomiCentra AB,https://www.allabolag.se/foretag/ecab-ekonomicentra-ab/%C3%B6rebro/-/5568938327,[],556893-8327,2089,ECAB EkonomiCentra AB,2012-05-22,Aktiebolag,3,"Radiatorvägen 11, 702 27 Örebro","Radiatorvägen 11, 702 27 Örebro",Örebro,50,"['69201 Redovisning och bokföring', '58290 Utgivning av annan programvara']",Bolaget ska bedriva konsultation inom ekonomi och redovisning. Samt produktförsäljning och konsultation inom affärssystem.,Ann-Louise Elisabeth Ekstrand,019-500 20 60,
Stefans Blomsterbod AB,https://www.allabolag.se/foretag/stefans-blomsterbod-ab/%C3%B6rebro/-/5567413835,[],556741-3835,2087,Stefans Blomsterbod AB,2007-11-01,Aktiebolag,2,,"Lövstagatan 18, 703 56 Örebro",Örebro,100,"['47761 Specialiserad butikshandel med blommor och andra växter, frön och gödselmedel']","Föremålet för bolagets verksamhet är att bedriva blomsterhandel, försäljning av presentartiklar samt därmed förenlig verksamhet.",,019-18 45 87,
Rynninge Fastighetsutveckling AB,https://www.allabolag.se/foretag/rynninge-fastighetsutveckling-ab/%C3%B6rebro/-/5590542865,[],559054-2865,2086,Rynninge Fastighetsutveckling AB,2016-03-08,Aktiebolag,2,"Skjutbanevägen 11, 703 84 Örebro","Skjutbanevägen 11, 703 84 Örebro",Örebro,50,"['81100 Fastighetsrelaterade stödtjänster', '41200 Byggande av bostadshus och andra byggnader', '68320 Fastighetsförvaltning på uppdrag']","Föremålet för bolagets verksamhet är att bedriva byggnads- verksamhet, fastighetsutveckling, fastighetsskötsel samt därmed förenlig verksamhet.",,,
NCMS Sweden AB,https://www.allabolag.se/foretag/ncms-sweden-ab/nora/-/5569661621,[],556966-1621,2086,NCMS Sweden AB,2014-03-24,Aktiebolag,2,"Östra Öskevik 143, 713 94 Nora","Långberg Östra Öskevik 143, 713 94 Nora",Nora,50,"['33120 Reparation av maskiner', '78200 Personaluthyrning', '81290 Annan rengöring']","Aktiebolaget ska bedriva service och reparationer av maskiner, bilar, inventarier inom förpackningsindustrin. Försäljning av reservdelar och därmed förenlig verksamhet. Entreprenad såsom snöröjning, grävnings, skogsröjning och reparationer för maskiner och inventarier för jord och skogsbruk. Uthyrning av personal.",,,
