org_number,legal_name,sni_code,sni_description
556863-5303,OBK Sverige AB,71121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
556665-1823,Hasselfors Garden AB,20150,Tillverkning av gödselmedel och kväveprodukter
556665-1823,Hasselfors Garden AB,08920,Torvutvinning
556665-1823,Hasselfors Garden AB,70100,Verksamheter som utövas av huvudkontor
556547-0241,Hörmann Svenska AB,46731,Partihandel med virke och andra byggmaterial
556547-0241,Hörmann Svenska AB,43320,Byggnadssnickeriarbeten
556800-7206,FMF Assistans AB,88102,Öppna sociala insatser för personer med funktionshinder
556556-2781,Malmbergs Elektriska Aktiebolag (publ),46434,Partihandel med elartiklar
556556-2781,Malmbergs Elektriska Aktiebolag (publ),46470,"Partihandel med möbler, mattor och belysningsartiklar"
556131-2223,CAB Group AB,62010,Dataprogrammering
556131-2223,CAB Group AB,62020,Datakonsultverksamhet
556548-4705,Laxå Specialvehicles Aktiebolag,29200,Tillverkning av karosserier för motorfordon; tillverkning av släpfordon och påhängsvagnar
556662-4366,Meribel Pharma Karlskoga AB,21200,Tillverkning av läkemedel
556117-6230,"Caravan-Trailer, Engstrand & Co. Aktiebolag",45192,"Handel med husvagnar, husbilar, släpfordon och påhängsvagnar"
556117-6230,"Caravan-Trailer, Engstrand & Co. Aktiebolag",45110,Handel med personbilar och lätta motorfordon
556323-0423,Skogsam Aktiebolag,46731,Partihandel med virke och andra byggmaterial
556096-8108,T-Schakt Aktiebolag,43991,Uthyrning av bygg- och anläggningsmaskiner med förare
556733-7364,Kura Omsorg i Sverige AB,88102,Öppna sociala insatser för personer med funktionshinder
559020-5869,Infracon Sverige AB,43120,Mark- och grundarbeten
559288-6567,Alacant Stormarknad AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
559288-6567,Alacant Stormarknad AB,10710,Tillverkning av mjukt matbröd och färska bakverk
556739-7376,Lindesberg's Bygg AB,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
556425-9918,L.E. Vegetables Company Aktiebolag,46310,Partihandel med frukt och grönsaker
556903-0959,Boman & Svahn Bygg & Entreprenad AB,41200,Byggande av bostadshus och andra byggnader
556507-4308,Karlskoga Kraftvärmeverk AB,35300,Försörjning av värme och kyla
556507-4308,Karlskoga Kraftvärmeverk AB,38110,Insamling av icke-farligt avfall
556062-0196,Johnson Metall Aktiebolag,28150,"Tillverkning av lager, kugghjul och andra delar för kraftöverföring"
556062-0196,Johnson Metall Aktiebolag,24440,Framställning av koppar
556062-0196,Johnson Metall Aktiebolag,46720,Partihandel med metaller och metallmalmer
556309-0520,EJOT Sverige AB,46741,Partihandel med järnhandelsvaror
556309-0520,EJOT Sverige AB,46900,Övrig partihandel
556500-8090,Bengts Åkeri i Örebro Aktiebolag,49410,"Vägtransport, godstrafik"
556949-1060,Nitton93 Inredningar AB,46650,Partihandel med kontorsmöbler
556150-7012,Örebro Bilcenter Aktiebolag,45110,Handel med personbilar och lätta motorfordon
556150-7012,Örebro Bilcenter Aktiebolag,45201,Allmän service och reparation av motorfordon utom motorcyklar
556150-7012,Örebro Bilcenter Aktiebolag,77110,Uthyrning och leasing av personbilar och lätta motorfordon
556214-5713,EUROPROFIL AB,24330,Tillverkning av andra kallformade produkter av stål
556466-5569,Noratel Sweden AB,46699,Partihandel med diverse övriga maskiner och utrustning
556466-5569,Noratel Sweden AB,27110,"Tillverkning av elmotorer, generatorer och transformatorer"
556279-2894,"MOAB, Michael Oldin Aktiebolag",10112,Styckning av kött
556872-7555,Byggnor Närke AB,41200,Byggande av bostadshus och andra byggnader
556016-3247,Nobeli Business Support Aktiebolag,69201,Redovisning och bokföring
556016-3247,Nobeli Business Support Aktiebolag,46699,Partihandel med diverse övriga maskiner och utrustning
556016-3247,Nobeli Business Support Aktiebolag,55101,Hotellverksamhet med restaurangrörelse
556016-3247,Nobeli Business Support Aktiebolag,70100,Verksamheter som utövas av huvudkontor
556852-6080,Interoc Akustik AB,43390,Annan slutbehandling av byggnader
556234-0421,HäradSkog i Örebro Aktiebolag,02101,Skogsförvaltning
556536-4469,Asplunds Bygg i Örebro AB,41200,Byggande av bostadshus och andra byggnader
556401-1582,Husherren Lokaler AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556401-1582,Husherren Lokaler AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556401-1582,Husherren Lokaler AB,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
559379-8761,Elcoline AB,33120,Reparation av maskiner
559379-8761,Elcoline AB,33200,Installation av industrimaskiner och -utrustning
559379-8761,Elcoline AB,28290,Övrig tillverkning av maskiner för allmänt ändamål
559379-8761,Elcoline AB,16240,Träförpackningstillverkning
559379-8761,Elcoline AB,32990,Diverse övrig tillverkning
556381-2451,Trädgårdshallen Sverige AB,46310,Partihandel med frukt och grönsaker
556904-4778,SWEDEN TIMBER HJORTKVARN AB,16102,Hyvling av trä
556904-4778,SWEDEN TIMBER HJORTKVARN AB,16101,Sågning av trä
