name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,address,postal_address,city,share_capital,sni_codes,business_purpose,ceo,phone,website
Kvartersdoktorn Sverige AB,https://www.allabolag.se/foretag/kvartersdoktorn-sverige-ab/kumla/-/5568411754,[],556841-1754,2511,Kvartersdoktorn Sverige AB,2011-02-08,Aktiebolag,2,"Mossbanegatan 77, 692 33 Kumla","Mossbanegatan 77, 692 33 Kumla",Kumla,50Tkr,"['86222 Specialistläkarverksamhet inom öppenvård, ej på sjukhus']","Föremålet för bolagets verksamhet är att bedriva läkarpraktik, hälsovård, vaccinationsverksamhet, medicinsk konsultverksamhet, forskning inom hälso- och sjukvård, rehabilitering, utbildning och försäljning av tjänster och artiklar inom hälso- och sjuk= vård, äga och förvalta fastigheter samt värdepapper och därmed förenlig verksamhet.",,019-60 90 02,
H K Center AB,https://www.allabolag.se/foretag/h-k-center-ab/degerfors/-/5593790677,[],559379-0677,2511,H K Center AB,2022-05-05,Aktiebolag,1,"Templargatan 20, 693 31 Degerfors","c/o Hassan Kahwaji, Templargatan 20, 693 31 Degerfors",Degerfors,25Tkr,"['86221 Specialistläkarverksamhet inom öppenvård, på sjukhus', '86211 Primärvårdsmottagningar med läkare m.m.', '86102 Specialiserad sluten somatisk hälso- och sjukvård på sjukhus', '86222 Specialistläkarverksamhet inom öppenvård, ej på sjukhus']","Företaget har som mål att erbjuda tjänster som gynnar och vårdar hela familjen med alla deras medlemmar. Detta inkluderar även familjens husdjur. Företaget planerar att erbjuda medicinsk vård i form av distans- och fysiska kontakter samt konsultverksamhet inom vård som läkarkonsult, säljer vårdtjänster inom medicin och kirurgi till olika vårdgivare båda privat och offentligt. detta för alla delar i familjen via en medicinsk vårdenhet och en smådjursklinik. Vid de medicinska vårdenheter planeras att erbjuda vård till hela familjen i form av primärvård, barnhälsovård, samtalsstöd med psykolog samt kirurgisk vård med även möjligheter till operativa behandlingar. Det kan även byggas ut med apotek, friskvårdsanläggningar som erbjuder fysioterapi, träningscenter, hudvård, kroppsvård och massage samt dietist. Företaget planerar att erbjuda utbildningar och kurser inom olika område som gynnar familjens hälsa. Vid Smådjurskliniken planeras att erbjuda veterinärvård, laboratorieveterinär (hund)fysioterapi och rehabilitering, hundfriskvård, canineopati samt beteendeterapi. För att komplettera detta tänks även på omhändertagandet av familjens fyrbenta medlemmar. Därför kommer det att erbjudas hunddagis och hundpensionat, hundkurser, hundfrisör samt en djurbutik och restaurang. Hunddagiset kommer även att kunna bedriva kennelverksamhet.",,,
PHJ Invest AB,https://www.allabolag.se/foretag/phj-invest-ab/karlskoga/-/5592924889,[],559292-4889,2509,PHJ Invest AB,2020-12-21,Aktiebolag,1,"Hertig Carls Allé 15, 691 41 Karlskoga","Hertig Carls Allé 15, 691 41 Karlskoga",Karlskoga,25Tkr,['68310 Förmedling avseende fastighetsverksamhet'],Fastighetsförmedling.,Petter Joakim Hedström,,
Sulaymani Kolgrill AB,https://www.allabolag.se/foretag/sulaymani-kolgrill-ab/karlskoga/-/5593170433,[],559317-0433,2506,Sulaymani Kolgrill AB,2021-05-12,Aktiebolag,2,"Loviselundsvägen 78, 691 31 Karlskoga","Loviselundsvägen 78, 691 31 Karlskoga",Karlskoga,25Tkr,['56110 Restaurangverksamhet'],Ska bedriva restaurang verksamhet i förhyrda lokaler. Restaurangen kommer att servera kolgrillade rätter samt pizza.,,,
MIxen Restaurang & Livs AB,https://www.allabolag.se/foretag/mixen-restaurang-livs-ab/hjortkvarn/-/5569882938,[],556988-2938,2506,MIxen Restaurang & Livs AB,2014-10-30,Aktiebolag,1-4,"Norrköpingsvägen 23, 697 93 Hjortkvarn","Norrköpingsvägen 23, 697 93 Hjortkvarn",Hjortkvarn,50Tkr,"['46390 Icke-specialiserad partihandel med livsmedel, drycker och tobak', '56110 Restaurangverksamhet', '81210 Lokalvård']",Bolaget ska bedriva restaurang kedja och handel med livsmedel av alla slag inklusive drycker samt därmed förenlig verksamhet.,,,
EBR Emanuel Bygg & Rörteknik AB,https://www.allabolag.se/foretag/ebr-emanuel-bygg-r%C3%B6rteknik-ab/dyltabruk/-/5569528051,[],556952-8051,2506,EBR Emanuel Bygg & Rörteknik AB,2013-12-09,Aktiebolag,1,"Rönnvägen 8, 718 40 Dyltabruk","Rönnvägen 8, 718 40 Dyltabruk",Dyltabruk,50Tkr,"['43221 Värme- och sanitetsarbeten', '41000 Byggande av bostadshus och andra byggnader', '81100 Fastighetsrelaterad stödverksamhet', '43999 Annan övrig specialiserad bygg- och anläggningsverksamhet']","Bolaget skall bedriva verksamhet inom byggverksamhet, VVS tjänster, fastighetetsservice samt handel med värdepapper och därmed förenlig verksamhet.",,,
Lindesbergs Fastigheter Småhus AB,https://www.allabolag.se/foretag/lindesbergs-fastigheter-sm%C3%A5hus-ab/lindesberg/-/5590752019,[],559075-2019,2505,Lindesbergs Fastigheter Småhus AB,2016-09-06,Aktiebolag,5-9,"Stafettgatan 36, 711 34 Lindesberg","Stafettgatan 36, 711 34 Lindesberg",Lindesberg,50Tkr,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],Bolaget ska äga och förvalta fast egendom samt därmed förenlig verksamhet.,,,
HR Fokus Aktiebolag,https://www.allabolag.se/foretag/hr-fokus-aktiebolag/%C3%B6rebro/-/5566650981,[],556665-0981,2505,HR Fokus Aktiebolag,2004-08-18,Aktiebolag,2,"Kansligatan 1, 703 61 Örebro","Kansligatan 1, 703 61 Örebro",Örebro,100Tkr,['62100 Dataprogrammering'],Bolaget skall bedriva utveckling och försäljning av programvara inom personaladministration samt konsultverksamhet inom nämnda område samt därmed förenlig verksamhet.,Karl Göran Klingberg,070-523 47 80,
TEME Agenturer AB,https://www.allabolag.se/foretag/teme-agenturer-ab/%C3%B6rebro/-/5566561238,[],556656-1238,2504,TEME Agenturer AB,2004-02-16,Aktiebolag,2,"Kungsgatan 23, 702 11 Örebro","Kungsgatan 23, 702 11 Örebro",Örebro,100Tkr,"['47711 Detaljhandel med kläder, utom via internet eller postorder']","Bolaget skall bedriva försäljning av kläder, äga och förvalta fastigheter samt handel med värdepapper och därmed förenlig verksamhet.",,,
Folkö&Ströms AB,https://www.allabolag.se/foretag/folk%C3%B6str%C3%B6ms-ab/%C3%B6rebro/-/5590250907,[],559025-0907,2503,Folkö&Ströms AB,2015-09-03,Aktiebolag,2,"Eker 313, 705 92 Örebro","Eker 313, 705 92 Örebro",Örebro,50Tkr,"['74110 Industridesign och modedesign', '69201 Redovisning och bokföring; skatterådgivning', '46420 Partihandel med kläder och skodon', '70200 Konsultverksamhet avseende företags organisation', '46499 Partihandel med övriga hushållsvaror']","Bolaget ska arbeta med visual merchandising och design av skor, väskor och accessoarer och därmed förenlig verksamhet. Bolaget ska även bedriva handel med skor, väskor och accessoarer och kundtjänst inom detaljhandeln.",,,
Axel Miljökonsult AB,https://www.allabolag.se/foretag/axel-milj%C3%B6konsult-ab/%C3%B6rebro/-/5568710007,[],556871-0007,2502,Axel Miljökonsult AB,2011-11-07,Aktiebolag,1,"Hagmarksgatan 6, 702 16 Örebro","c/o Axel Ekström, Hagmarksgatan 6, 702 16 Örebro",Örebro,50Tkr,"['74990 All övrig verksamhet inom juridik, ekonomi, vetenskap och teknik']","Bolaget skall bedriva konsultverksamhet inom miljöskyddsområdet samt inom organisations- och verksamhetsutveckling, arkiv- och dokumenthantering och därmed förenlig verksamhet.",,,
Trafikskolan Här Går Man AB,https://www.allabolag.se/foretag/trafikskolan-h%C3%A4r-g%C3%A5r-man-ab/%C3%B6rebro/-/5565305207,[],556530-5207,2501,Trafikskolan Här Går Man AB,1996-03-20,Aktiebolag,3,"Rudbecksgatan 14, 702 23 Örebro","Rudbecksgatan 14, 702 23 Örebro",Örebro,100Tkr,['85530 Trafikskoleverksamhet'],Bolaget skall bedriva trafikskola och därmed förenlig verksamhet.,,,
CMC Holding AB,https://www.allabolag.se/foretag/cmc-holding-ab/%C3%B6rebro/-/5593936916,[],559393-6916,2501,CMC Holding AB,2022-08-24,Aktiebolag,2,"Rudbecksgatan 11 o, 702 11 Örebro","Rudbecksgatan 11 o, 702 11 Örebro",Örebro,25Tkr,"['71124 Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik']",Bolaget skall äga och förvalta värdepapper.,,,
Länstrafiken Örebro Aktiebolag,https://www.allabolag.se/foretag/l%C3%A4nstrafiken-%C3%B6rebro-aktiebolag/%C3%B6rebro/-/5561843334,[],556184-3334,2500,Länstrafiken Örebro Aktiebolag,1973-01-01,Aktiebolag,0,Örebro,"Box 1613, 701 16 Örebro",Örebro,21 000Tkr,"['49310 Reguljär vägtransport, passagerartrafik']",Föremålet för det kommunala ändamålet för bolagets verksamhet är att förvalta de avtal och förpliktelse som bolaget ingick när bolaget var trafikhuvudman för Örebro län samt i övrigt vidta de förvaltningsåtgärder och andra åtgärder inom kollektivtrafikområdet som uppdras åt bolaget av Örebro läns landsting.,Johan Petter Ljung,019-602 39 00,
Lindesberg Padelcenter AB,https://www.allabolag.se/foretag/lindesberg-padelcenter-ab/lindesberg/-/5592999063,[],559299-9063,2500,Lindesberg Padelcenter AB,2021-02-03,Aktiebolag,0,"Stafettgatan 32, 711 34 Lindesberg","Stafettgatan 32, 711 34 Lindesberg",Lindesberg,50Tkr,"['93119 Drift av sporthallar, idrottsplatser och andra sportanläggningar']","Bolagets verksamhet består av att bedriva sporthall med inriktning padeltennis och övriga racketsporter. Bolaget ska även bedriva verksamhet inom fastighetsuthyrning, restaurang och café, shop avseende racketprodukter, gym, spa och massage och därmed förenlig verksamhet.",,,
Tak Proffs Scandinavian AB,https://www.allabolag.se/foretag/tak-proffs-scandinavian-ab/skyllberg/-/5594262189,[],559426-2189,2498,Tak Proffs Scandinavian AB,2023-03-15,Aktiebolag,4,"Burenstams Väg 5, 694 99 Skyllberg","c/o Elena Kopteva, Burenstams Väg 5, 694 99 Skyllberg",Skyllberg,25Tkr,"['43411 Takarbeten av plåt', '43240 Andra bygginstallationer', '43310 Puts-, fasad- och stuckatörsarbeten', '43412 Takarbeten av andra material än plåt']","Företaget ska bedriva renovering och underhåll av plåt- och tegel tak. Metallverkstad, byggtjänster, montering av markiser och solpaneler samt bemanningsverksamhet. Dessutom planerar bolaget bedriva bygg- och fasadentreprenad samt därmed förenlig verksamhet.",,,
SK i Örebro AB,https://www.allabolag.se/foretag/sk-i-%C3%B6rebro-ab/kumla/-/5593824153,[],559382-4153,2495,SK i Örebro AB,2022-05-24,Aktiebolag,1,"Östergårdsvägen 2 a, 692 32 Kumla","Östergårdsvägen 2 a, 692 32 Kumla",Kumla,25Tkr,['43330 Golv- och väggbeläggningsarbeten'],"Företaget ska erbjuda tjänster inom bygg såsåm plattsättning, badrumsrenovering, golvavjämning, tätning mot privata och juridiska personer",,,
Bests Equipment Aktiebolag,https://www.allabolag.se/foretag/bests-equipment-aktiebolag/karlskoga/-/5564724598,[],556472-4598,2495,Bests Equipment Aktiebolag,1993-09-08,Aktiebolag,1,"Magasinsvägen 4, 691 42 Karlskoga","Box 18, 691 21 Karlskoga",Karlskoga,100Tkr,"['30110 Byggande av civila fartyg och flytande materiel', '46860 Partihandel med andra insatsvaror', '47633 Detaljhandel med båtar']","Bolaget skall bedriva försäljning och legotillverkning av plastprodukter och PVC-textilier, försäljning av motorfordon, båtar, bil-och båttillbehör samt idka därmed förenlig verksamhet.",,0586-384 00,
Syse Digital Design AB,https://www.allabolag.se/foretag/syse-digital-design-ab/%C3%B6rebro/-/5591084453,[],559108-4453,2494,Syse Digital Design AB,2017-04-10,Aktiebolag,2,"Strombergsgatan 23, 702 83 Örebro","Strombergsgatan 23, 702 83 Örebro",Örebro,50Tkr,"['74110 Industridesign och modedesign', '62100 Dataprogrammering', '74120 Grafisk design och visuell kommunikation']","Konsultverksamhet inom produktveckling, design, digital visualisering, animation och mjukvaruutveckling samt handel med värdepapper och fastigheter.",,,
Smådjurskliniken i Askersund AB,https://www.allabolag.se/foretag/sm%C3%A5djurskliniken-i-askersund-ab/askersund/-/5560626011,[],556062-6011,2494,Smådjurskliniken i Askersund AB,1956-01-18,Aktiebolag,2,"Vapenvägen 6, 696 33 Askersund","Vapenvägen 6, 696 33 Askersund",Askersund,300Tkr,['75000 Veterinärverksamhet'],"Bolagets verksamhet skall vara att driva veterinärverksamhet, att äga och förvalta fast och lös egendom samt att driva därmed förenlig verksamhet.",,,
Rörfirman i Närke AB,https://www.allabolag.se/foretag/r%C3%B6rfirman-i-n%C3%A4rke-ab/%C3%B6rebro/-/5590697016,[],559069-7016,2494,Rörfirman i Närke AB,2016-07-07,Aktiebolag,2,"Oxelbärsgatan 2, 703 60 Örebro","c/o Christian Gardelin, Oxelbärsgatan 2, 703 60 Örebro",Örebro,50Tkr,['43221 Värme- och sanitetsarbeten'],Bolaget ska bedriva arbete inom VVS samt därmed förenlig verksamhet.,Christian Hemming Gardelin,,
Kyrksjön AB,https://www.allabolag.se/foretag/kyrksj%C3%B6n-ab/%C3%A5sbro/-/5566300462,[],556630-0462,2494,Kyrksjön AB,2002-07-01,Aktiebolag,2,"Lerbäck Perolofgården 326, 694 96 Åsbro","Lerbäck Perolofgården 326, 694 96 Åsbro",Åsbro,100Tkr,"['55103 Hotellverksamhet utan restaurangrörelse', '55202 Stug- och rumsuthyrning']","Bolaget skall bedriva enklare hotellverksamhet med inriktning mot Bed & Breakfast, samt uthyrning av lokaler till konferenser och bröllop.",Nora Jeanne van Vloodorp,,
